,mean,std,skew,kurt,hit_rate_up,q05,q25,q75,q95,es95_down,es95_up,worst,best,latest
1d,8.647586232490987e-05,0.004641163494177485,-0.012773118098039396,0.1565160343675056,0.5064227325807708,-0.007612809207466575,-0.0030503024674808227,0.0032722958054791917,0.0077836816214835285,-0.009643712713753055,0.00978438399466912,-0.016808191117460264,0.016181587806004163,0.0008291685791849412
5d,0.00023089855673711225,0.010221153054033247,0.1502990082985585,-0.016481275143274132,0.5076923076923077,-0.0161249846041827,-0.007117001145743748,0.006606221220550781,0.01725658411506038,-0.019601773761837606,0.02200363353351223,-0.03190644299048988,0.0362094536272156,0.003013394056157498
21d,-0.00019168558430200227,0.01913672441966327,0.04557993639221652,-0.04274602993562704,0.49286936679977184,-0.03223986672625634,-0.0126782560728739,0.012399471198354134,0.03160628436618911,-0.0393549410803953,0.03989887796069836,-0.06204926609518757,0.05827031982098499,0.016848632838492
63d,0.005031758310353361,0.028158840454620925,-0.18320711011026283,0.052684047701938574,0.5842696629213483,-0.04862683185270632,-0.011121778153793407,0.025419956150260076,0.04310138328560234,-0.0558246573509281,0.05691145712995993,-0.05936223290816542,0.07962557144307236,
