,mean,std,skew,kurt,hit_rate_up,worst,best,latest
1d,-0.0003193751654147102,0.009620892587114068,-0.09783732961188117,0.1580462679340373,0.4916309848189957,-0.03862154450066463,0.029917932799783165,-0.029137618147872246
5d,-0.0005076368741243498,0.020672495075447207,-0.042637665389417136,-0.030199470778415893,0.48731808731808735,-0.0806283700845436,0.07185228702276919,-0.02416413162698633
21d,0.001790131659731804,0.039639453718473994,-0.03829656773884018,-0.038968736370351476,0.5339418140330862,-0.11284805611442289,0.14277704258656787,-0.045095980907762845
63d,-0.010343450992951359,0.06286611765081805,0.265929060764766,-0.6612497342822627,0.4044943820224719,-0.13104589068012173,0.13099464783633386,
