,mean,std,skew,kurt,hit_rate_up,q05,q25,q75,q95,es95_down,es95_up,worst,best,latest
1d,-0.000788977643618617,0.01786334368411862,-0.021530667928210227,0.04331463542449132,0.48267808485792135,-0.030013451302411953,-0.012442763210430918,0.011242239716170999,0.028413529830398934,-0.03778836876824207,0.03576575566619572,-0.06655134633924997,0.059029480528281164,-0.010197583560762613
5d,-0.0017679705439734284,0.03829749664660816,-0.0644518024523224,-0.008225293819968726,0.48482328482328485,-0.0663962374968841,-0.026967403836322124,0.023432172930348827,0.060427037784954625,-0.08278545444959985,0.07595663343148469,-0.13622642680491226,0.11452813218630742,0.031033730907187862
21d,-0.003908824638240765,0.07343197893583898,-0.35096582335437415,0.45501888857779704,0.4905875641756988,-0.12812747127036228,-0.04939499666382596,0.04437808808664134,0.1109017156942179,-0.1770903329065898,0.13572838114074698,-0.27871233543604423,0.20774884627919954,0.03932271203525306
63d,-0.042439538427516216,0.09250982547175715,0.20685674418418684,0.06657720274120082,0.29213483146067415,-0.19281019974805558,-0.10077574590957727,0.005582643767763074,0.10275543464720373,-0.22396928481978287,0.14353929900579593,-0.25312002555947344,0.20988436468473026,
