obs_date,turn_premium_ann_pct
2016-09-21,
2016-09-22,
2016-09-23,
2016-09-26,
2016-09-27,
2016-09-28,
2016-09-29,
2016-09-30,
2016-10-03,
2016-10-04,
2016-10-05,
2016-10-06,
2016-10-07,
2016-10-10,
2016-10-11,
2016-10-12,
2016-10-13,
2016-10-14,
2016-10-17,
2016-10-18,
2016-10-19,
2016-10-20,
2016-10-21,
2016-10-24,
2016-10-25,
2016-10-26,
2016-10-27,
2016-10-28,
2016-10-31,
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,
2016-11-07,
2016-11-08,
2016-11-09,
2016-11-10,
2016-11-11,
2016-11-14,
2016-11-15,
2016-11-16,
2016-11-17,
2016-11-18,0.4969797969180547
2016-11-21,0.3887947172640107
2016-11-22,0.39566639706785445
2016-11-23,0.3364691584095283
2016-11-24,0.36570585396607314
2016-11-25,0.39307295772895223
2016-11-28,0.3578691123765063
2016-11-29,0.36837232529695196
2016-11-30,0.34365958173218925
2016-12-01,0.4143982332144365
2016-12-02,0.4582430689211776
2016-12-05,0.3801536371375258
2016-12-06,0.30595374360744554
2016-12-07,0.37765127753314065
2016-12-08,0.3464887960807017
2016-12-09,0.2943669762797523
2016-12-12,0.2963078740051479
2016-12-13,0.2847183859810247
2016-12-14,0.39117892538608334
2016-12-15,0.420813517692177
2016-12-16,0.4674104955997196
2016-12-19,0.43576358840271556
2016-12-20,0.4005606256908969
2017-09-20,0.04974100822983596
2017-09-21,0.03331149586369708
2017-09-22,0.03503299419105854
2017-09-25,0.08535111408067486
2017-09-26,0.05438303981155457
2017-09-27,0.026152814226024113
2017-09-28,0.003973292708869813
2017-09-29,-0.05511356220125574
2017-10-02,-0.03672348201695774
2017-10-03,-0.03481236785412278
2017-10-04,-0.07676889545023391
2017-10-05,-0.06822812858537386
2017-10-06,-0.24077344029522907
2017-10-09,-0.15091473305960035
2017-10-10,-0.13269063034935247
2017-10-11,0.03364531480546118
2017-10-12,-0.07864364780526234
2017-10-13,-0.24078123429829867
2017-10-16,-0.2199446869014947
2017-10-17,-0.2560995399938908
2017-10-18,-0.2736013381403297
2017-10-19,-0.2616775232226516
2017-10-20,-0.21912107559974192
2017-10-23,-0.07229858909275366
2017-10-24,0.04730652338043262
2017-10-25,0.10556038696584968
2017-10-26,0.055453988268591825
2017-10-27,0.01895659396805005
2017-10-30,-0.06198510367743548
2017-10-31,0.017429656155112827
2017-11-01,-0.04704952857020839
2017-11-02,-0.03951903564774106
2017-11-03,-0.1198488980524699
2017-11-06,-0.09976610740986525
2017-11-07,-0.012460177156740304
2017-11-08,-0.06605550685401651
2017-11-09,0.06712998302350437
2017-11-10,0.010191990615778579
2017-11-13,-0.04420996126575227
2017-11-14,-0.047242511362065365
2017-11-15,-0.032363700123344774
2017-11-16,0.02189623186036682
2017-11-17,-0.04253540366020525
2017-11-20,0.01232898057281373
2017-11-21,0.04249012647925543
2017-11-22,0.2158947701455176
2017-11-23,0.14144168270784618
2017-11-24,0.19369747534354165
2017-11-27,0.3136707787788424
2017-11-28,0.36872962871377624
2017-11-29,0.3712404518327759
2017-11-30,0.3441699219976204
2017-12-01,0.365688606556696
2017-12-04,0.22085542467675578
2017-12-05,0.22808753901518442
2017-12-06,0.20863778917279951
2017-12-07,0.1795099158430884
2017-12-08,0.08031555754817621
2017-12-11,0.13348814722531976
2017-12-12,0.11384250199282686
2017-12-13,0.13545567512205858
2017-12-14,0.12548561583269535
2017-12-15,-0.07469296825731897
2017-12-18,-0.25807484431778027
2017-12-19,-0.25772097883861944
2018-09-19,0.43167949644030035
2018-09-20,0.38195920364603
2018-09-21,0.33595455798002094
2018-09-24,0.34213295963066415
2018-09-25,0.2686529109943505
2018-09-26,0.2017682152334359
2018-09-27,0.16061866029375782
2018-09-28,0.2403945635976097
2018-10-01,0.282865999385014
2018-10-02,0.38857237842432646
2018-10-03,0.5706200624845224
2018-10-04,0.6056595593995695
2018-10-05,0.5786721662141527
2018-10-08,0.5948797396797163
2018-10-09,0.6047549875390317
2018-10-10,0.7196107444981639
2018-10-11,0.7372532959068794
2018-10-12,0.7467260336409645
