quarter_pair,count,mean,std,min,25%,50%,75%,max
Mar-Jun,640.0,-0.9289278315766225,0.1945016622855164,-1.420667177078674,-1.0480610225809628,-0.9167714835134831,-0.7794707162504284,-0.4123495006041435
Jun-Sep,660.0,-1.0207891195642043,0.23477023852429438,-1.5814940390332666,-1.1893337680996048,-1.0515570803817351,-0.8547556054685209,-0.40709315545875824
Sep-Dec,660.0,-0.965578799455896,0.2444641803780492,-1.6125662966058214,-1.1418534355887986,-0.94407661096125,-0.7642175705448006,-0.4041713477075418
Dec-Mar,650.0,-0.8979679420730606,0.2403073111377614,-1.7316184425620724,-1.014509962078249,-0.8782076925076784,-0.732450476262955,-0.3712708294163456
