,mean,std,skew,kurt,hit_rate_up,worst,best,latest
1d,-0.16406752949906736,3.2613751649568488,-0.005856959346499221,0.2758248428673382,0.4861813935383418,-12.44881712545822,12.69992236588891,-2.5966173207871748
5d,-0.5187158881855788,7.130291195589451,-0.14488022795813885,0.1699806100201684,0.4673596673596674,-26.24070093327805,21.294726916797572,-7.710076770857285
21d,-1.5957469147569314,13.201716583205277,-0.09598965939992818,-0.2795990761586413,0.47005134055904163,-41.596494432692836,42.01056778808592,0.5038403813596375
63d,-8.843879130265075,21.819546400346262,-0.4069876336517301,-0.36014831427921257,0.34831460674157305,-59.12863048683057,31.914505828199907,
