,n,median,q25,q75,share_up,min,max
T-90d,10.0,0.0003094896696622107,-0.010892444275122683,0.0028357644649208563,0.5,-0.03499480789152781,0.013133086208610423
T-60d,10.0,0.002586884440600512,-0.017437108702728254,0.01763243993439996,0.6,-0.05048053221352575,0.03126138526987482
T-30d,10.0,0.018075004259704368,-0.013062238518788453,0.029577646711881594,0.6,-0.036515516801581535,0.047449633566609625
T-10d,9.0,0.021744018571146856,0.008216982667483719,0.0370903810345235,0.7777777777777778,-0.0265532538228081,0.0634365663668638
T-0d,9.0,0.024251618823898938,0.019373378374036354,0.03772402127185032,0.8888888888888888,-0.005068018626725193,0.08149199696244133
