quarter_pair,count,mean,std,min,25%,50%,75%,max
Mar-Jun,640.0,4.438168701875193,0.4770524146427123,3.165475597752095,4.076370553086882,4.471407483638682,4.830493279646621,5.287286582431302
Jun-Sep,660.0,4.560146602026537,0.4537191811795192,3.4508640249381726,4.2288883902904635,4.565671082964776,4.866750203166731,5.6573539174792655
Sep-Dec,660.0,4.685797850730656,0.5252406988323124,3.5360131508562556,4.341612830783074,4.69411888257319,5.011594587652592,5.90430791575836
Dec-Mar,650.0,4.647025603039519,0.5133009287952465,3.122703380887128,4.263290489133691,4.638477072351838,4.9870387376367145,5.887260835343653
