,n,median,q25,q75,share_up,min,max
T-90d,10.0,-0.7616739833970575,-1.230649989012172,-0.11028997110453609,0.2,-1.5568185744683927,0.6617114740021055
T-60d,10.0,-0.5554322682935402,-0.9236054405494547,-0.24433847367563766,0.2,-1.393621868710793,0.9324540159695365
T-30d,10.0,-0.5043326074340584,-1.2121998628093595,-0.21479475995336084,0.2,-2.217590784039095,1.980832153753129
T-10d,9.0,0.06640933942437544,-0.6999281405082862,1.3782802379481298,0.5555555555555556,-1.7365819752361649,2.6029786145348663
T-0d,9.0,-0.5606962267686644,-1.2396037501449744,0.7808646274796294,0.3333333333333333,-1.5319811769654126,1.6797330316994346
