,n,median,q25,q75,share_up,min,max
T-90d,10.0,4.612930337439494,-0.20442198030816172,11.994305151519328,0.7,-12.624042523534001,27.64959919090944
T-60d,10.0,9.958305980261954,-5.825168622159218,14.17113820029233,0.6,-21.480899446063205,25.886327197707033
T-30d,10.0,7.498592468385951,0.7734113276162233,14.266881339807206,0.7,-24.853537777693248,28.419834315657937
T-10d,9.0,6.151133435167878,-8.27776641640338,8.545137834297407,0.6666666666666666,-37.79604568895216,34.83204082691688
T-0d,9.0,1.6092602018809004,-15.302161397553618,5.251315699114457,0.5555555555555556,-45.35128510879153,31.892841293764008
