quarter_pair,count,mean,std,min,25%,50%,75%,max
Mar-Jun,640.0,-1.5904144437378402,0.24061496331858453,-2.2011519834628257,-1.7785056146104021,-1.5808871570238696,-1.4233649183054349,-0.9567663539523039
Jun-Sep,660.0,-1.6050528163634754,0.27429423846268997,-2.2985748053837463,-1.7849888734354182,-1.6064321501939047,-1.4135423303745918,-0.8805372103487444
Sep-Dec,660.0,-1.5302943527935542,0.3095880724464315,-2.455873078314159,-1.7536421429086304,-1.5087951780572477,-1.317894561061538,-0.7532492800768625
Dec-Mar,650.0,-1.411955926466945,0.25047652882569366,-1.9568972104733426,-1.5979533364369936,-1.4324405496172918,-1.2909231962281005,-0.6114285295179733
