quarter_pair,count,mean,std,min,25%,50%,75%,max
Mar-Jun,640.0,2.5459378790684033,0.32742288910343903,1.707328774904115,2.351789711385708,2.532235038957004,2.7207490906262195,3.5651806755491706
Jun-Sep,660.0,2.5091393720259454,0.327295668967785,1.7479393594018016,2.3140299482582005,2.5291613688600116,2.6960000836716556,3.4400914460830183
Sep-Dec,660.0,2.459398852003711,0.22867582401669037,1.9066274652450588,2.299784340919212,2.4569101297614253,2.6077462735478267,3.1700061591764586
Dec-Mar,650.0,2.5173300434797072,0.34637677205410006,1.5815042530750545,2.3099968825480683,2.5025734065123495,2.7110582281346978,3.5727576387408964
