quarter_pair,count,mean,std,min,25%,50%,75%,max
Mar-Jun,640.0,3.958659009517877,0.421079467828558,3.0548242500376004,3.674857131465246,3.883317236952193,4.175395781644276,5.209743317288436
Jun-Sep,660.0,3.9739326837045574,0.32727855851295856,3.0526400241845795,3.750382850495165,3.9476039723969585,4.166429286635233,4.787545978398664
Sep-Dec,660.0,3.9006577805194427,0.27923422937797093,3.1743455283392694,3.6961565898019817,3.8912518999676573,4.0584006052795605,4.670290677360053
Dec-Mar,650.0,3.9944860338325436,0.35582543350692114,3.0234638134667544,3.8068132947077733,3.991941633698926,4.163601342307512,5.104622121876217
