bucket,n,median,mean,q05,q95,hit_rate_up
z<-1.5,151,0.2113450192079802,0.18758322487018653,-0.202080163902704,0.5280967575860908,0.7615894039735099
-1.5..-0.5,368,0.029182282986798203,0.018707559157525845,-0.3003900469654358,0.35897047264777476,0.5679347826086957
-0.5..0.5,412,0.07138543673639197,0.06114107709043997,-0.34400784047217076,0.3404140328694249,0.6941747572815534
0.5..1.5,486,-0.023117942533511737,-0.04938840356568521,-0.4058745679312578,0.23493688850884448,0.44650205761316875
z>1.5,167,-0.2226965418071123,-0.19173632527929169,-0.4656812329745258,0.1472787753746627,0.20958083832335328
